Title,Authors,Venue,Year,Abstract,Citations,URL
Crossing the Reward Bridge: Expanding RL with Verifiable Rewards Across Diverse Domains,"Y Su, D Yu, L Song, J Li, H Mi, Z Tu, M Zhang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Reinforcement learning with verifiable rewards (RLVR) has demonstrated significant success in enhancing mathematical reasoning and coding performance of large language …,8,https://arxiv.org/abs/2503.23829
Rm-r1: Reward modeling as reasoning,"X Chen, G Li, Z Wang, B Jin, C Qian, Y Wang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Reward modeling is essential for aligning large language models (LLMs) with human preferences, especially through reinforcement learning from human feedback (RLHF). To …",6,https://arxiv.org/abs/2505.02387
Nemotron-research-tool-n1: Tool-using language models with reinforced reasoning,"S Zhang, Y Dong, J Zhang, J Kautz… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Enabling large language models with external tools has become a pivotal strategy for extending their functionality beyond text generation tasks. Prior work typically enhances tool …,4,https://arxiv.org/abs/2505.00024
"Generative to agentic ai: Survey, conceptualization, and challenges","J Schneider - arXiv preprint arXiv:2504.18875, 2025",arxiv.org,Year not found,Agentic Artificial Intelligence (AI) builds upon Generative AI (GenAI). It constitutes the next major step in the evolution of AI with much stronger reasoning and interaction capabilities …,6,https://arxiv.org/abs/2504.18875
Fino1: On the transferability of reasoning enhanced llms to finance,"L Qian, W Zhou, Y Wang, X Peng, H Yi, J Huang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"While large language models (LLMs) have shown strong general reasoning capabilities, their effectiveness in financial reasoning, which is crucial for real-world financial applications …",7,https://arxiv.org/abs/2502.08127
Efficient Compressing and Tuning Methods for Large Language Models: A Systematic Literature Review,"GI Kim, S Hwang, B Jang - ACM Computing Surveys, 2025",dl.acm.org,Year not found,Efficient compression and tuning techniques have become indispensable in addressing the increasing computational and memory demands of large language models (LLMs). While …,2,https://dl.acm.org/doi/abs/10.1145/3728636
PIM Is All You Need: A CXL-Enabled GPU-Free System for Large Language Model Inference,"Y Gu, A Khadem, S Umesh, N Liang, X Servot… - Proceedings of the 30th …, 2025",dl.acm.org,Year not found,"Large Language Model (LLM) inference uses an autoregressive manner to generate one token at a time, which exhibits notably lower operational intensity compared to earlier …",5,https://dl.acm.org/doi/abs/10.1145/3676641.3716267
Can Large Language Models Detect Errors in Long Chain-of-Thought Reasoning?,"Y He, S Li, J Liu, W Wang, X Bu, G Zhang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Recently, o1-like models have drawn significant attention, where these models produce the long Chain-of-Thought (CoT) reasoning steps to improve the reasoning abilities of existing …",7,https://arxiv.org/abs/2502.19361
Specreason: Fast and accurate inference-time compute via speculative reasoning,"R Pan, Y Dai, Z Zhang, G Oliaro, Z Jia… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Recent advances in inference-time compute have significantly improved performance on complex tasks by generating long chains of thought (CoTs) using Large Reasoning Models …,8,https://arxiv.org/abs/2504.07891
From llm reasoning to autonomous ai agents: A comprehensive review,"MA Ferrag, N Tihanyi, M Debbah - arXiv preprint arXiv:2504.19678, 2025",arxiv.org,Year not found,"Large language models and autonomous AI agents have evolved rapidly, resulting in a diverse array of evaluation benchmarks, frameworks, and collaboration protocols. However …",5,https://arxiv.org/abs/2504.19678
