Title,Authors,Venue,Year,Abstract,Citations,URL
Seed1. 5-vl technical report,"D Guo, F Wu, F Zhu, F Leng, G Shi, H Chen… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"We present Seed1. 5-VL, a vision-language foundation model designed to advance general-purpose multimodal understanding and reasoning. Seed1. 5-VL is composed with a 532M …",7,https://arxiv.org/abs/2505.07062
Limr: Less is more for rl scaling,"X Li, H Zou, P Liu - arXiv preprint arXiv:2502.11886, 2025",arxiv.org,Year not found,"In this paper, we ask: what truly determines the effectiveness of RL training data for enhancing language models' reasoning capabilities? While recent advances like o1 …",21,https://arxiv.org/abs/2502.11886
Multimodal chain-of-thought reasoning: A comprehensive survey,"Y Wang, S Wu, Y Zhang, S Yan, Z Liu, J Luo… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"By extending the advantage of chain-of-thought (CoT) reasoning in human-like step-by-step processes to multimodal contexts, multimodal CoT (MCoT) reasoning has recently garnered …",12,https://arxiv.org/abs/2503.12605
Audio-reasoner: Improving reasoning capability in large audio language models,"Z Xie, M Lin, Z Liu, P Wu, S Yan, C Miao - arXiv preprint arXiv:2503.02318, 2025",arxiv.org,Year not found,"Recent advancements in multimodal reasoning have largely overlooked the audio modality. We introduce Audio-Reasoner, a large-scale audio language model for deep reasoning in …",13,https://arxiv.org/abs/2503.02318
Med-r1: Reinforcement learning for generalizable medical reasoning in vision-language models,"Y Lai, J Zhong, M Li, S Zhao, X Yang - arXiv preprint arXiv:2503.13939, 2025",arxiv.org,Year not found,"Vision-language models (VLMs) have achieved impressive progress in natural image reasoning, yet their potential in medical imaging remains underexplored. Medical vision …",14,https://arxiv.org/abs/2503.13939
Reasoning with latent thoughts: On the power of looped transformers,"N Saunshi, N Dikkala, Z Li, S Kumar… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large language models have shown remarkable reasoning abilities and scaling laws suggest that large parameter count, especially along the depth axis, is the primary driver. In …",15,https://arxiv.org/abs/2502.17416
"H-cot: Hijacking the chain-of-thought safety reasoning mechanism to jailbreak large reasoning models, including openai o1/o3, deepseek-r1, and gemini 2.0 flash …","M Kuo, J Zhang, A Ding, Q Wang, L DiValentin… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Large Reasoning Models (LRMs) have recently extended their powerful reasoning capabilities to safety checks-using chain-of-thought reasoning to decide whether a request …,16,https://arxiv.org/abs/2502.12893
SR: Teaching LLMs to Self-verify and Self-correct via Reinforcement Learning,"R Ma, P Wang, C Liu, X Liu, J Chen, B Zhang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Recent studies have demonstrated the effectiveness of LLM test-time scaling. However, existing approaches to incentivize LLMs' deep thinking abilities generally require large …",12,https://arxiv.org/abs/2502.12853
The geometry of concepts: Sparse autoencoder feature structure,"Y Li, EJ Michaud, DD Baek, J Engels, X Sun… - Entropy, 2025",mdpi.com,Year not found,Sparse autoencoders have recently produced dictionaries of high-dimensional vectors corresponding to the universe of concepts represented by large language models. We find …,14,https://www.mdpi.com/1099-4300/27/4/344
"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment","K Wang, G Zhang, Z Zhou, J Wu, M Yu, S Zhao… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,The remarkable success of Large Language Models (LLMs) has illuminated a promising pathway toward achieving Artificial General Intelligence for both academic and industrial …,12,https://arxiv.org/abs/2504.15585
"Comprehensive analysis of transparency and accessibility of chatgpt, deepseek, and other sota large language models","R Sapkota, S Raza, M Karkee - arXiv preprint arXiv:2502.18505, 2025",arxiv.org,Year not found,"Despite increasing discussions on open-source Artificial Intelligence (AI), existing research lacks a discussion on the transparency and accessibility of state-of-the-art (SoTA) Large …",14,https://arxiv.org/abs/2502.18505
Boosting the generalization and reasoning of vision language models with curriculum reinforcement learning,"H Deng, D Zou, R Ma, H Luo, Y Cao, Y Kang - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"While state-of-the-art vision-language models (VLMs) have demonstrated remarkable capabilities in complex visual-text tasks, their success heavily relies on massive model …",13,https://arxiv.org/abs/2503.07065
Llms get lost in multi-turn conversation,"P Laban, H Hayashi, Y Zhou, J Neville - arXiv preprint arXiv:2505.06120, 2025",arxiv.org,Year not found,"Large Language Models (LLMs) are conversational interfaces. As such, LLMs have the potential to assist their users not only when they can fully specify the task at hand, but also to …",9,https://arxiv.org/abs/2505.06120
T2i-r1: Reinforcing image generation with collaborative semantic-level and token-level cot,"D Jiang, Z Guo, R Zhang, Z Zong, H Li, L Zhuo… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Recent advancements in large language models have demonstrated how chain-of-thought (CoT) and reinforcement learning (RL) can improve performance. However, applying such …",7,https://arxiv.org/abs/2505.00703
Concise reasoning via reinforcement learning,"M Fatemi, B Rafiee, M Tang… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Despite significant advancements in large language models (LLMs), a major drawback of reasoning models is their enormous token usage, which increases computational cost …",14,https://arxiv.org/abs/2504.05185
Safety at scale: A comprehensive survey of large model safety,"X Ma, Y Gao, Y Wang, R Wang, X Wang, Y Sun… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"The rapid advancement of large models, driven by their exceptional abilities in learning and generalization through large-scale pre-training, has reshaped the landscape of Artificial …",13,https://arxiv.org/abs/2502.05206
A survey of llm-based agents in medicine: How far are we from baymax?,"W Wang, Z Ma, Z Wang, C Wu, W Chen, X Li… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large Language Models (LLMs) are transforming healthcare through the development of LLM-based agents that can understand, reason about, and assist with medical tasks. This …",11,https://arxiv.org/abs/2502.11211
S*: Test time scaling for code generation,"D Li, S Cao, C Cao, X Li, S Tan, K Keutzer… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Increasing test-time compute for LLMs shows promise across domains but remains underexplored in code generation, despite extensive study in math. In this paper, we …",11,https://arxiv.org/abs/2502.14382
"The Relationship Between Reasoning and Performance in Large Language Models--o3 (mini) Thinks Harder, Not Longer","M Ballon, A Algaba, V Ginis - arXiv preprint arXiv:2502.15631, 2025",arxiv.org,Year not found,"Large language models have demonstrated remarkable progress in mathematical reasoning, leveraging chain-of-thought and test-time compute scaling. However, many open …",14,https://arxiv.org/abs/2502.15631
Baichuan-m1: Pushing the medical capability of large language models,"B Wang, H Zhao, H Zhou, L Song, M Xu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"The current generation of large language models (LLMs) is typically designed for broad, general-purpose applications, while domain-specific LLMs, especially in vertical fields like …",8,https://arxiv.org/abs/2502.12671
Supergpqa: Scaling llm evaluation across 285 graduate disciplines,"X Du, Y Yao, K Ma, B Wang, T Zheng, K Zhu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large language models (LLMs) have demonstrated remarkable proficiency in mainstream academic disciplines such as mathematics, physics, and computer science. However …",12,https://arxiv.org/abs/2502.14739
LEGO-Puzzles: How Good Are MLLMs at Multi-Step Spatial Reasoning?,"K Tang, J Gao, Y Zeng, H Duan, Y Sun, Z Xing… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Multi-step spatial reasoning entails understanding and reasoning about spatial relationships across multiple sequential steps, which is crucial for tackling complex real-world …",8,https://arxiv.org/abs/2503.19990
Echo chamber: Rl post-training amplifies behaviors learned in pretraining,"R Zhao, A Meterez, S Kakade, C Pehlevan… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Reinforcement learning (RL)-based fine-tuning has become a crucial step in post-training language models for advanced mathematical reasoning and coding. Following the success …,7,https://arxiv.org/abs/2504.07912
Alphadrive: Unleashing the power of vlms in autonomous driving via reinforcement learning and reasoning,"B Jiang, S Chen, Q Zhang, W Liu, X Wang - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"OpenAI o1 and DeepSeek R1 achieve or even surpass human expert-level performance in complex domains like mathematics and science, with reinforcement learning (RL) and …",8,https://arxiv.org/abs/2503.07608
Eagle-3: Scaling up inference acceleration of large language models via training-time test,"Y Li, F Wei, C Zhang, H Zhang - arXiv preprint arXiv:2503.01840, 2025",arxiv.org,Year not found,"The sequential nature of modern LLMs makes them expensive and slow, and speculative sampling has proven to be an effective solution to this problem. Methods like EAGLE …",8,https://arxiv.org/abs/2503.01840
What makes a reward model a good teacher? an optimization perspective,"N Razin, Z Wang, H Strauss, S Wei, JD Lee… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,The success of Reinforcement Learning from Human Feedback (RLHF) critically depends on the quality of the reward model. While this quality is primarily evaluated through …,9,https://arxiv.org/abs/2503.15477
Assessing and improving syntactic adversarial robustness of pre-trained models for code translation,"G Yang, Y Zhou, X Zhang, X Chen, T Han… - Information and Software …, 2025",Elsevier,Year not found,"Abstract Context: Pre-trained models (PTMs) have demonstrated significant potential in automatic code translation. However, the vulnerability of these models in translation tasks …",19,https://www.sciencedirect.com/science/article/pii/S0950584925000382
SFT or RL? An Early Investigation into Training R1-Like Reasoning Large Vision-Language Models,"H Chen, H Tu, F Wang, H Liu, X Tang, X Du… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"This work revisits the dominant supervised fine-tuning (SFT) then reinforcement learning (RL) paradigm for training Large Vision-Language Models (LVLMs), and reveals a key …",11,https://arxiv.org/abs/2504.11468
Sql-r1: Training natural language to sql reasoning model by reinforcement learning,"P Ma, X Zhuang, C Xu, X Jiang, R Chen… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Natural Language to SQL (NL2SQL) enables intuitive interactions with databases by transforming natural language queries into structured SQL statements. Despite recent …,9,https://arxiv.org/abs/2504.08600
Safety tax: Safety alignment makes your large reasoning models less reasonable,"T Huang, S Hu, F Ilhan, SF Tekin, Z Yahn, Y Xu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Safety alignment is an important procedure before the official deployment of a Large Language Model (LLM). While safety alignment has been extensively studied for LLM, there …",10,https://arxiv.org/abs/2503.00555
The first few tokens are all you need: An efficient and effective unsupervised prefix fine-tuning method for reasoning models,"K Ji, J Xu, T Liang, Q Liu, Z He, X Chen, X Liu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,Improving the reasoning capabilities of large language models (LLMs) typically requires supervised fine-tuning with labeled data or computationally expensive sampling. We …,10,https://arxiv.org/abs/2503.02875
